epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,140.954,0.50961,0.4165,0.88706,0.79125,0.81533,0.79524,0.54502,1.30146,1.13855,1.65301,0.000431256,0.000431256,0.000431256
82,142.654,0.54443,0.45927,0.91684,0.77054,0.81611,0.77613,0.55069,1.31224,1.14421,1.66298,0.000427722,0.000427722,0.000427722
83,144.347,0.54444,0.42766,0.91119,0.77209,0.81641,0.79744,0.56358,1.30872,1.05356,1.63937,0.000424187,0.000424187,0.000424187
84,146.02,0.52679,0.41149,0.89479,0.78569,0.81665,0.80379,0.55966,1.30463,1.11675,1.65002,0.000420653,0.000420653,0.000420653
85,147.712,0.53838,0.41098,0.88808,0.78569,0.81665,0.80379,0.55966,1.30463,1.11675,1.65002,0.000417119,0.000417119,0.000417119
86,149.336,0.54576,0.44176,0.92099,0.77265,0.83611,0.81813,0.56992,1.33619,1.14375,1.68541,0.000413584,0.000413584,0.000413584
87,150.946,0.55474,0.41613,0.94732,0.80214,0.79183,0.78922,0.57289,1.30619,1.12024,1.62877,0.00041005,0.00041005,0.00041005
88,152.609,0.56593,0.42309,0.92816,0.84777,0.78581,0.80168,0.58333,1.24598,1.06027,1.56092,0.000406516,0.000406516,0.000406516
89,154.232,0.55572,0.43226,0.92374,0.84777,0.78581,0.80168,0.58333,1.24598,1.06027,1.56092,0.000402982,0.000402982,0.000402982
90,155.891,0.52199,0.44373,0.91414,0.82207,0.79404,0.78471,0.5595,1.20791,1.04461,1.52909,0.000399447,0.000399447,0.000399447
91,157.588,0.53153,0.41345,0.89508,0.82086,0.80624,0.80719,0.60924,1.21321,1.10669,1.52914,0.000395913,0.000395913,0.000395913
92,159.255,0.50727,0.38305,0.87895,0.83703,0.80844,0.81753,0.60611,1.17892,1.02955,1.49814,0.000392379,0.000392379,0.000392379
93,160.91,0.51927,0.40555,0.90553,0.83703,0.80844,0.81753,0.60611,1.17892,1.02955,1.49814,0.000388844,0.000388844,0.000388844
94,162.569,0.52262,0.39438,0.90806,0.83563,0.81111,0.82877,0.63184,1.15006,0.96253,1.48129,0.00038531,0.00038531,0.00038531
95,164.228,0.47711,0.39697,0.88256,0.80051,0.8146,0.83178,0.62213,1.14563,1.00885,1.50435,0.000381776,0.000381776,0.000381776
96,165.914,0.52191,0.42267,0.91236,0.79525,0.81786,0.84356,0.62498,1.13916,0.99545,1.50717,0.000378242,0.000378242,0.000378242
97,167.561,0.50614,0.39971,0.90854,0.79525,0.81786,0.84356,0.62498,1.13916,0.99545,1.50717,0.000374707,0.000374707,0.000374707
98,169.245,0.49925,0.38885,0.89626,0.79451,0.81912,0.84135,0.61604,1.1277,0.99466,1.49702,0.000371173,0.000371173,0.000371173
99,170.967,0.49187,0.40036,0.88576,0.79294,0.81842,0.85676,0.63251,1.15518,1.11848,1.48713,0.000367639,0.000367639,0.000367639
100,172.624,0.53134,0.46495,0.92963,0.77912,0.81805,0.86035,0.65121,1.17792,1.15784,1.47894,0.000364104,0.000364104,0.000364104
101,175.031,0.49561,0.41216,0.90844,0.77912,0.81805,0.86035,0.65121,1.17792,1.15784,1.47894,0.00036057,0.00036057,0.00036057
102,177.428,0.47171,0.36607,0.88126,0.77176,0.81959,0.85291,0.62239,1.20384,1.18215,1.49561,0.000357036,0.000357036,0.000357036
103,179.145,0.46773,0.37598,0.87254,0.77219,0.82272,0.85005,0.61333,1.23703,1.15612,1.54731,0.000353501,0.000353501,0.000353501
104,180.972,0.46286,0.35286,0.86201,0.77276,0.82719,0.84599,0.60539,1.25114,1.11715,1.57886,0.000349967,0.000349967,0.000349967
105,183.713,0.51978,0.40439,0.92947,0.77276,0.82719,0.84599,0.60539,1.25114,1.11715,1.57886,0.000346433,0.000346433,0.000346433
106,185.458,0.49171,0.39275,0.88396,0.77318,0.82999,0.83693,0.59617,1.25118,1.10814,1.58005,0.000342899,0.000342899,0.000342899
107,187.163,0.45989,0.38895,0.88452,0.78871,0.82878,0.84508,0.59816,1.2245,1.08531,1.54512,0.000339364,0.000339364,0.000339364
108,188.847,0.44086,0.3616,0.88514,0.80048,0.83577,0.82591,0.59363,1.22202,1.06085,1.54323,0.00033583,0.00033583,0.00033583
109,190.437,0.47374,0.36799,0.87839,0.80048,0.83577,0.82591,0.59363,1.22202,1.06085,1.54323,0.000332296,0.000332296,0.000332296
110,192.071,0.45856,0.36599,0.86714,0.80082,0.83611,0.82095,0.56335,1.22181,1.01245,1.56299,0.000328761,0.000328761,0.000328761
111,193.77,0.43827,0.36119,0.86149,0.79338,0.82446,0.81998,0.57312,1.23021,1.03402,1.57212,0.000325227,0.000325227,0.000325227
112,195.476,0.47373,0.37183,0.88889,0.78671,0.82309,0.83392,0.60558,1.22467,1.03875,1.5657,0.000321693,0.000321693,0.000321693
113,197.131,0.50658,0.40422,0.93391,0.78671,0.82309,0.83392,0.60558,1.22467,1.03875,1.5657,0.000318158,0.000318158,0.000318158
114,198.747,0.46893,0.36062,0.88465,0.78825,0.8267,0.83979,0.6152,1.19183,1.02934,1.56818,0.000314624,0.000314624,0.000314624
115,200.412,0.45717,0.37176,0.8637,0.78653,0.83611,0.83985,0.60218,1.1963,1.04956,1.57376,0.00031109,0.00031109,0.00031109
116,202.073,0.4612,0.34514,0.85988,0.78384,0.81746,0.87419,0.63258,1.22112,1.14111,1.57714,0.000307555,0.000307555,0.000307555
117,203.695,0.46819,0.39338,0.8707,0.78384,0.81746,0.87419,0.63258,1.22112,1.14111,1.57714,0.000304021,0.000304021,0.000304021
118,205.344,0.44756,0.38017,0.88667,0.78068,0.80807,0.87262,0.62698,1.23339,1.19391,1.57497,0.000300487,0.000300487,0.000300487
119,207.011,0.43093,0.34611,0.85948,0.77854,0.80846,0.86776,0.63265,1.21602,1.24978,1.54657,0.000296953,0.000296953,0.000296953
120,208.742,0.44299,0.33537,0.88653,0.77438,0.81111,0.81488,0.59621,1.21446,1.3496,1.53965,0.000293418,0.000293418,0.000293418
121,210.346,0.43061,0.34079,0.86111,0.77438,0.81111,0.81488,0.59621,1.21446,1.3496,1.53965,0.000289884,0.000289884,0.000289884
122,212.06,0.47239,0.35159,0.88718,0.78661,0.81111,0.79982,0.58394,1.23294,1.34865,1.54659,0.00028635,0.00028635,0.00028635
123,213.736,0.45947,0.35873,0.88141,0.79709,0.81111,0.84124,0.60754,1.25858,1.32933,1.57737,0.000282815,0.000282815,0.000282815
124,215.415,0.42573,0.31998,0.85321,0.80412,0.81111,0.8277,0.59422,1.24939,1.27032,1.5931,0.000279281,0.000279281,0.000279281
125,217.009,0.44194,0.34488,0.88449,0.80412,0.81111,0.8277,0.59422,1.24939,1.27032,1.5931,0.000275747,0.000275747,0.000275747
126,218.66,0.46272,0.34609,0.89064,0.8103,0.80753,0.8437,0.61464,1.22157,1.23323,1.5868,0.000272212,0.000272212,0.000272212
127,220.336,0.44134,0.35505,0.90104,0.79489,0.78889,0.87868,0.63532,1.19323,1.22017,1.57196,0.000268678,0.000268678,0.000268678
128,222.005,0.432,0.32933,0.89631,0.69195,0.91334,0.892,0.63444,1.20683,1.18002,1.56764,0.000265144,0.000265144,0.000265144
129,223.665,0.42739,0.31538,0.84805,0.69195,0.91334,0.892,0.63444,1.20683,1.18002,1.56764,0.00026161,0.00026161,0.00026161
130,225.393,0.41374,0.34507,0.86885,0.77641,0.78889,0.87532,0.62611,1.20407,1.13676,1.55395,0.000258075,0.000258075,0.000258075
131,227.079,0.47708,0.35619,0.91827,0.76836,0.80943,0.87996,0.63104,1.22659,1.1597,1.56646,0.000254541,0.000254541,0.000254541
132,228.808,0.43154,0.33071,0.87918,0.75786,0.80575,0.88462,0.61618,1.25204,1.14084,1.59545,0.000251007,0.000251007,0.000251007
